COD;MUN.DIS;MUN;PROV;N2019;N2018;N2017;N2016;N2015;M2019;M2018;M2017;M2016;M2015
8266;Cerdanyola del Vallès;Cerdanyola del Vallès;Barcelona;973;1006;911;806;909;773.11;723.35;698.95;643.88;618.06
8068;Cervelló;Cervelló;Barcelona;119;115;115;122;98;831.56;786.24;764.18;679.1;685.71
25072;Cervera;Cervera;Lleida;163;192;179;139;146;316.39;295.4;276.9;287.31;272.31
25073;Cervià de les Garrigues;Cervià de les Garrigues;Lleida;3;2;4;5;2;;;;;
17050;Cervià de Ter;Cervià de Ter;Girona;8;11;12;13;7;487.5;481.36;535.42;517.95;561.43
17051;Cistella;Cistella;Girona;1;1;5;1;5;;;;;
25074;Ciutadilla;Ciutadilla;Lleida;;4;1;;1;;;;;
25075;Clariana de Cardener;Clariana de Cardener;Lleida;3;;1;1;;;;;;
25076;Cogul, el;Cogul, el;Lleida;1;;;;3;;;;;
17054;Colera;Colera;Girona;9;9;12;3;4;381.67;404.18;503.75;;
25077;Coll de Nargó;Coll de Nargó;Lleida;6;8;2;6;;376.46;241.25;;283.29;
8069;Collbató;Collbató;Barcelona;45;27;32;35;34;827.98;800;852.68;721.86;739.03
43045;Colldejou;Colldejou;Tarragona;2;;1;3;2;;;;;
8070;Collsuspina;Collsuspina;Barcelona;;3;3;3;1;;;;;
17055;Colomers;Colomers;Girona;1;4;1;3;;;;;;
25163;Coma i la Pedra, la;Coma i la Pedra, la;Lleida;5;4;5;15;;;;;200.6;
25161;Conca de Dalt;Conca de Dalt;Lleida;1;2;;;;;;;;
43046;Conesa;Conesa;Tarragona;2;;;1;;;;;;
43047;Constantí;Constantí;Tarragona;76;13;91;119;79;402.25;357.48;326.3;318;307.8
8071;Copons;Copons;Barcelona;3;1;2;1;2;;;;;
8072;Corbera de Llobregat;Corbera de Llobregat;Barcelona;307;317;264;238;266;701.66;676.32;655.05;642.47;567.34
43048;Corbera d'Ebre;Corbera d'Ebre;Tarragona;4;9;2;2;1;;231.11;;;
25078;Corbins;Corbins;Lleida;7;2;5;4;4;346.43;;;;
17057;Corçà;Corçà;Girona;9;13;11;17;14;614.81;540.38;570.91;499.12;451.79
8073;Cornellà de Llobregat;Cornellà de Llobregat;Barcelona;1682;1682;1574;1299;1279;696.35;664.95;602.45;566.36;537.03
17056;Cornellà del Terri;Cornellà del Terri;Girona;28;38;56;28;17;510.89;54;544.73;507.73;61
43049;Cornudella de Montsant;Cornudella de Montsant;Tarragona;18;11;12;9;6;387.5;413.18;422.5;315.89;346.67
43050;Creixell;Creixell;Tarragona;100;102;105;91;81;527.14;554.99;484.14;465.75;415.77
17058;Crespià;Crespià;Girona;6;2;;3;2;491.67;;;;
17901;Cruïlles, Monells i Sant Sadurní de l'Heura;Cruïlles, Monells i Sant Sadurní de l'Heura;Girona;11;13;14;1;12;634.09;692.31;629.17;624;493.9
8074;Cubelles;Cubelles;Barcelona;401;378;321;316;292;683.91;657.18;615.66;580.73;545.15
25079;Cubells;Cubells;Lleida;6;1;5;1;4;477.5;437;;;
43051;Cunit;Cunit;Tarragona;29;292;259;241;234;598.23;552.22;533.67;479.58;470.9
17060;Darnius;Darnius;Girona;4;15;11;15;8;;408.33;505.91;374.33;425.62
17061;Das;Das;Girona;4;2;4;4;5;;;;;
43901;Deltebre;Deltebre;Tarragona;95;91;88;76;59;325.4;292.28;285.28;270.14;263.03
8075;Dosrius;Dosrius;Barcelona;85;89;96;74;85;819.54;783.65;763.55;711.08;659.88
43053;Duesaigües;Duesaigües;Tarragona;4;5;7;5;5;;;348.57;;
17062;Escala, l';Escala, l';Girona;153;183;161;153;163;529.7;523.36;480.18;473.1;457.54
8076;Esparreguera;Esparreguera;Barcelona;319;38;309;312;317;599.91;581.26;545.26;506.48;475.57
17063;Espinelves;Espinelves;Girona;7;8;6;5;8;377.14;45;403.33;;397.5
25081;Espluga Calba, l';Espluga Calba, l';Lleida;2;1;3;1;1;;;;;
43054;Espluga de Francolí, l';Espluga de Francolí, l';Tarragona;42;36;31;22;25;385;415.56;338.06;356.82;340.4
8077;Esplugues de Llobregat;Esplugues de Llobregat;Barcelona;832;853;718;614;599;848.2;814.91;772.99;740.45;687.72
17064;Espolla;Espolla;Girona;3;5;3;6;3;;;;516.67;
17065;Esponellà;Esponellà;Girona;1;2;4;3;3;;;;;
25082;Espot;Espot;Lleida;1;;1;1;2;;;;;
8078;Espunyola, l';Espunyola, l';Barcelona;2;1;2;1;3;;;;;
8254;Esquirol, l';Esquirol, l';Barcelona;42;33;34;3;23;412.98;391.85;389.12;371.98;376
25088;Estamariu;Estamariu;Lleida;2;1;1;;;;;;;
8079;Estany, l';Estany, l';Barcelona;7;9;7;6;4;660.71;434.44;462.86;485.83;
25085;Estaràs;Estaràs;Lleida;;;1;1;;;;;;
25086;Esterri d'Àneu;Esterri d'Àneu;Lleida;15;11;12;6;6;357.33;285.91;327.93;391.67;29
25087;Esterri de Cardós;Esterri de Cardós;Lleida;;;;;;;;;;
43055;Falset;Falset;Tarragona;44;56;65;47;45;418.22;370.5;355.34;366.71;352.56
17005;Far d'Empordà, el;Far d'Empordà, el;Girona;1;4;2;3;3;;;;;
25089;Farrera;Farrera;Lleida;;;;;2;;;;;
43056;Fatarella, la;Fatarella, la;Tarragona;;1;;1;;;;;;
43057;Febró, la;Febró, la;Tarragona;;;;;;;;;;
8134;Figaró0Montmany;Figaró-Montmany;Barcelona;27;2;24;27;3;591.23;508.98;551.04;518.52;405.04
8080;Fígols;Fígols;Barcelona;1;1;2;;;;;;;
25908;Fígols i Alinyà;Fígols i Alinyà;Lleida;3;1;1;;;;;;;
